Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-29,54.0099983215332,54.47999954223633,53.150001525878906,53.540000915527344,14832400,0,0
2021-11-01,53.560001373291016,55.33000183105469,53.40999984741211,55.11000061035156,14747000,0,0
2021-11-02,55.040000915527344,55.08000183105469,53.779998779296875,53.9900016784668,11571400,0,0
2021-11-03,53.68000030517578,54.54999923706055,53.099998474121094,54.529998779296875,9774200,0,0
2021-11-04,54.58000183105469,54.84000015258789,53.18000030517578,53.68000030517578,11284700,0,0
2021-11-05,54.11000061035156,54.18000030517578,52.810001373291016,53.150001525878906,13273800,0,0
2021-11-08,53.45000076293945,54.31999969482422,53.15999984741211,54.08000183105469,10565500,0,0
2021-11-09,54.11000061035156,54.93000030517578,53.15999984741211,53.70000076293945,11230100,0,0
2021-11-10,53.25,53.97999954223633,51.75,52.33000183105469,18858400,0,0
2021-11-11,52.59000015258789,52.84000015258789,51.84000015258789,51.97999954223633,13972100,0,0
2021-11-12,52.29999923706055,52.810001373291016,51.91999816894531,52.25,13287600,0,0
2021-11-15,52.40999984741211,53.90999984741211,52.40999984741211,52.95000076293945,21965600,0,0
2021-11-16,52.86000061035156,53.0,51.880001068115234,52.11000061035156,10743600,0,0
2021-11-17,52.029998779296875,52.13999938964844,50.58000183105469,50.61000061035156,16968800,0,0
2021-11-18,50.650001525878906,50.83000183105469,48.459999084472656,48.599998474121094,22373500,0,0
2021-11-19,49.119998931884766,50.369998931884766,48.400001525878906,48.400001525878906,26162400,0,0
2021-11-22,48.5099983215332,48.54999923706055,46.52000045776367,47.310001373291016,26620100,0,0
2021-11-23,47.20000076293945,47.459999084472656,45.97999954223633,47.13999938964844,19663700,0,0
2021-11-24,46.65999984741211,47.63999938964844,46.15999984741211,47.52000045776367,9979500,0,0
2021-11-26,46.63999938964844,47.349998474121094,46.22999954223633,47.06999969482422,7861300,0,0
2021-11-29,51.880001068115234,52.27000045776367,45.619998931884766,45.779998779296875,71686600,0,0
2021-11-30,45.5099983215332,45.849998474121094,43.0,43.939998626708984,36213400,0,0
2021-12-01,44.90999984741211,46.5,42.79999923706055,42.81999969482422,34082600,0,0
