Date,Open,High,Low,Close,Adj Close,Volume
2021-12-22,273.450012,274.549011,255.509995,259.700012,259.700012,3092400
2021-12-23,258.329987,259.519989,250.050003,255.289993,255.289993,2604500
2021-12-27,253.240005,259.899994,250.229996,254.839996,254.839996,1514800
2021-12-28,250.350006,256.484985,238.270004,241.399994,241.399994,2551600
2021-12-29,235.119995,244.300003,231.729996,240.610001,240.610001,2713700
2021-12-30,239.020004,258.820007,238.000000,256.809998,256.809998,2353500
2021-12-31,253.559998,263.950012,251.369995,257.799988,257.799988,1159100
2022-01-03,253.869995,256.140015,231.500000,231.850006,231.850006,3776400
2022-01-04,231.809998,233.520004,220.000000,224.089996,224.089996,3403800
2022-01-05,230.470001,230.589996,211.029999,211.429993,211.429993,3098300
2022-01-06,214.479996,217.496994,198.000000,214.740005,214.740005,2753800
2022-01-07,213.699997,217.729996,209.270004,211.839996,211.839996,1201400
2022-01-10,204.449997,230.350006,201.550003,230.000000,230.000000,3737700
2022-01-11,222.929993,224.229996,213.020004,215.800003,215.800003,2614100
2022-01-12,216.779999,221.574997,213.740005,220.869995,220.869995,1806600
2022-01-13,217.089996,220.199997,202.860001,202.990005,202.990005,2252700
2022-01-14,195.559998,206.240005,194.610001,196.000000,196.000000,2863800
2022-01-18,183.270004,183.270004,168.070007,169.229996,169.229996,4740300
2022-01-19,171.639999,175.720001,160.600006,161.660004,161.660004,3528300
2022-01-20,166.410004,166.789993,155.729996,156.529999,156.529999,3282700
2022-01-21,153.850006,154.869995,145.809998,147.500000,147.500000,4395500
2022-01-24,141.990005,151.990005,135.130005,150.979996,150.979996,5811000
2022-01-25,157.485001,166.500000,152.557999,156.490005,156.490005,4071000
2022-01-26,163.529999,167.679993,159.100006,160.699997,160.699997,2688100
2022-01-27,161.929993,164.470001,152.779999,154.539993,154.539993,2477500
2022-01-28,154.000000,162.229996,150.589996,162.220001,162.220001,1432400
2022-01-31,166.000000,172.690002,162.509995,172.080002,172.080002,1860200
2022-02-01,182.179993,183.610001,174.160004,179.600006,179.600006,1933300
2022-02-02,181.000000,184.130005,175.220001,180.149994,180.149994,1823300
2022-02-03,172.348999,179.126999,171.257004,175.020004,175.020004,1405300
2022-02-04,175.770004,177.360001,172.291000,176.570007,176.570007,880600
2022-02-07,175.589996,176.875000,171.100006,172.809998,172.809998,1494100
2022-02-08,162.350006,165.809006,156.240005,159.600006,159.600006,3091900
2022-02-09,162.899994,173.869995,160.910004,173.330002,173.330002,1874500
2022-02-10,165.039993,175.869995,163.880005,167.539993,167.539993,1205500
2022-02-11,167.929993,174.199997,167.779999,170.949997,170.949997,1439800
2022-02-14,163.669998,165.820007,153.759995,154.529999,154.529999,3229500
2022-02-15,155.850006,164.770004,155.699997,163.440002,163.440002,1214500
2022-02-16,161.929993,168.279999,158.100006,165.490005,165.490005,1101600
2022-02-17,163.425995,167.000000,157.089996,157.360001,157.360001,886700
2022-02-18,156.949997,159.339996,151.600006,156.940002,156.940002,1016300
2022-02-22,149.490005,153.970001,146.850006,149.889999,149.889999,1492000
2022-02-23,152.330002,152.440002,140.970001,141.160004,141.160004,1512400
2022-02-24,140.149994,154.429993,138.565994,154.059998,154.059998,2106200
2022-02-25,157.110001,158.690002,149.630005,150.619995,150.619995,1232800
2022-02-28,147.050003,152.449997,146.580002,150.809998,150.809998,1388600
2022-03-01,150.270004,153.960007,146.130005,146.729996,146.729996,969000
2022-03-02,145.000000,148.029999,140.479996,146.949997,146.949997,1034300
2022-03-03,147.559998,147.660004,139.800003,142.259995,142.259995,960200
2022-03-04,137.089996,139.524994,134.520004,136.259995,136.259995,1653800
2022-03-07,133.179993,136.610001,124.470001,126.250000,126.250000,1674900
2022-03-08,123.900002,133.669998,121.320000,128.160004,128.160004,1617100
2022-03-09,135.320007,144.128006,134.100006,140.210007,140.210007,1519600
2022-03-10,139.419998,139.679993,134.550003,137.270004,137.270004,799500
2022-03-11,143.250000,145.250000,135.610001,135.639999,135.639999,1074200
2022-03-14,139.350006,160.300003,138.690002,151.919998,151.919998,3920800
2022-03-15,153.250000,155.580002,141.059998,145.039993,145.039993,2564400
2022-03-16,147.399994,164.429993,147.399994,163.919998,163.919998,3034400
2022-03-17,164.339996,166.500000,160.339996,165.000000,165.000000,1578500
2022-03-18,165.750000,179.839996,165.429993,174.460007,174.460007,2969000
2022-03-21,175.169998,178.500000,169.190002,170.119995,170.119995,1535700
