Date,Open,High,Low,Close,Adj Close,Volume
2021-09-22,342.803009,344.570007,336.690002,339.260010,339.260010,1480000
2021-09-23,343.000000,360.000000,341.440002,352.989990,352.989990,2824400
2021-09-24,350.000000,350.920013,332.399994,333.480011,333.480011,2603100
2021-09-27,335.360992,338.500000,305.510010,307.089996,307.089996,4089300
2021-09-28,293.700012,296.899994,275.000000,276.519989,276.519989,5854400
2021-09-29,287.000000,292.809998,275.579987,277.440002,277.440002,2776300
2021-09-30,278.140015,282.500000,268.829987,272.989990,272.989990,2632600
2021-10-01,251.000000,259.239990,230.029999,254.789993,254.789993,6885400
2021-10-04,234.929993,252.369995,233.500000,248.899994,248.899994,3719000
2021-10-05,253.951996,258.000000,248.919998,250.119995,250.119995,2038500
2021-10-06,246.960007,248.539993,233.750000,236.139999,236.139999,2434200
2021-10-07,235.800003,252.589996,232.059998,246.570007,246.570007,2585500
2021-10-08,252.029999,257.899994,243.199997,245.949997,245.949997,1916100
2021-10-11,244.000000,251.050003,240.970001,243.020004,243.020004,1244400
2021-10-12,247.729996,248.419998,240.130005,243.770004,243.770004,1292000
2021-10-13,247.070007,250.979996,244.500000,249.399994,249.399994,1437700
2021-10-14,253.130005,257.339996,249.000000,250.330002,250.330002,1708700
2021-10-15,252.800003,252.800003,245.279999,247.679993,247.679993,1654000
2021-10-18,245.339996,261.130005,245.029999,261.089996,261.089996,2011900
2021-10-19,273.000000,282.000000,262.000000,262.850006,262.850006,3854500
2021-10-20,268.730011,273.970001,265.000000,269.420013,269.420013,2029200
2021-10-21,276.600006,286.799011,275.029999,286.359985,286.359985,2558800
2021-10-22,294.779999,295.815002,268.049988,278.339996,278.339996,3558900
2021-10-25,278.677002,295.510010,278.677002,294.920013,294.920013,2853000
2021-10-26,295.510010,304.350006,290.630005,292.390015,292.390015,2272400
2021-10-27,294.540009,297.950012,277.839996,278.769989,278.769989,1914300
2021-10-28,282.500000,288.709991,277.100006,283.980011,283.980011,1468500
2021-10-29,283.750000,284.850006,273.000000,278.730011,278.730011,1462600
2021-11-01,282.000000,282.899994,269.234985,274.320007,274.320007,1798700
2021-11-02,282.079987,290.790009,276.369995,289.480011,289.480011,2469800
2021-11-03,293.529999,296.950012,282.779999,295.410004,295.410004,2416800
2021-11-04,283.779999,286.000000,263.630005,273.940002,273.940002,5055900
2021-11-05,240.470001,246.000000,207.509995,216.639999,216.639999,11684300
2021-11-08,232.179993,243.080002,228.619995,242.600006,242.600006,4834300
2021-11-09,251.660004,253.000000,223.570007,226.369995,226.369995,5541700
2021-11-10,233.160004,244.740005,229.649994,235.399994,235.399994,4053700
2021-11-11,237.440002,239.789993,228.473999,235.889999,235.889999,2266200
2021-11-12,233.500000,238.330002,231.729996,238.139999,238.139999,1734700
2021-11-15,241.720001,250.880005,239.470001,250.479996,250.479996,2629200
2021-11-16,247.039993,262.380005,244.059998,258.049988,258.049988,3291700
2021-11-17,263.640015,272.148987,259.600006,272.000000,272.000000,2897300
2021-11-18,277.276001,281.049988,265.559998,274.059998,274.059998,2635700
2021-11-19,277.679993,290.010010,275.181000,289.750000,289.750000,4140100
2021-11-22,298.000000,322.200012,292.450012,321.709991,321.709991,5616400
2021-11-23,308.200012,311.609985,291.589996,308.839996,308.839996,4343100
2021-11-24,295.000000,306.820007,291.850006,304.760010,304.760010,2393500
2021-11-26,337.429993,372.489990,335.035004,348.000000,348.000000,11029000
2021-11-29,369.500000,374.579987,346.910004,362.519989,362.519989,6067600
2021-11-30,335.596985,359.269989,327.130005,351.739990,351.739990,4732500
2021-12-01,335.649994,346.799988,330.660004,334.480011,334.480011,3708300
2021-12-02,311.000000,335.000000,307.059998,333.489990,333.489990,4120100
2021-12-03,338.000000,346.190002,328.019989,344.059998,344.059998,3325600
2021-12-06,317.570007,321.859985,276.450012,279.829987,279.829987,6780100
2021-12-07,287.720001,302.690002,284.540009,302.690002,302.690002,3478200
2021-12-08,308.649994,312.959991,287.230011,291.940002,291.940002,3983300
2021-12-09,298.059998,299.000000,283.339996,284.209991,284.209991,1979800
