,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT220916C01200000,2021-11-10 11:48:31+00:00,1200.0,1013.11,1000.0,1024.0,0.0,0.0,,30,1.0001346990585327,True,REGULAR,USD
1,RUT220916C01250000,2021-12-15 15:28:38+00:00,1250.0,896.76,892.5,904.1,0.0,0.0,1.0,20,0.715472205657959,True,REGULAR,USD
2,RUT220916C01300000,2021-11-10 11:48:31+00:00,1300.0,919.13,905.5,928.9,0.0,0.0,,24,0.9118661157226562,True,REGULAR,USD
3,RUT220916C01350000,2021-11-10 11:48:31+00:00,1350.0,880.64,858.5,882.5,0.0,0.0,,14,0.8717587897491456,True,REGULAR,USD
4,RUT220916C01400000,2021-11-10 11:48:31+00:00,1400.0,833.8,812.0,835.5,0.0,0.0,,16,0.8323991369628905,True,REGULAR,USD
5,RUT220916C01450000,2021-11-10 11:48:31+00:00,1450.0,786.79,765.5,789.1,0.0,0.0,,15,0.7946568996429442,True,REGULAR,USD
6,RUT220916C01500000,2022-03-10 16:24:50+00:00,1500.0,520.49,598.5,608.7,0.0,0.0,1.0,7,0.36167783103942863,True,REGULAR,USD
7,RUT220916C01550000,2021-11-10 11:48:31+00:00,1550.0,692.4,674.5,698.1,0.0,0.0,,7,0.7257298240280151,True,REGULAR,USD
8,RUT220916C01600000,2022-03-10 16:24:50+00:00,1600.0,436.29,507.0,517.4,0.0,0.0,1.0,10,0.3427266045379638,True,REGULAR,USD
9,RUT220916C01700000,2021-11-10 11:48:31+00:00,1700.0,571.43,542.0,566.0,0.0,0.0,,0,0.6331976377868653,True,REGULAR,USD
10,RUT220916C01750000,2022-02-04 18:00:13+00:00,1750.0,316.05,315.3,338.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
11,RUT220916C01800000,2022-02-04 18:00:13+00:00,1800.0,278.93,278.8,301.5,0.0,0.0,1.0,2,0.17060155578613284,True,REGULAR,USD
12,RUT220916C01850000,2021-12-21 17:19:47+00:00,1850.0,415.0,264.5,278.3,0.0,0.0,,1,0.22825631370544433,True,REGULAR,USD
13,RUT220916C01920000,2022-01-20 14:30:38+00:00,1920.0,261.66,211.4,216.8,0.0,0.0,1.0,2,0.2043956209182739,True,REGULAR,USD
14,RUT220916C01930000,2022-01-28 19:17:23+00:00,1930.0,155.4,210.5,234.5,0.0,0.0,12.0,12,0.25648097652435303,True,REGULAR,USD
15,RUT220916C01940000,2022-02-28 15:30:47+00:00,1940.0,220.53,233.3,240.0,0.0,0.0,4.0,5,0.28035311328887935,True,REGULAR,USD
