,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT231215C01000000,2021-12-20 16:03:04+00:00,1000.0,1110.0,1075.5,1099.5,0.0,0.0,7.0,10,0.3130256686401367,True,REGULAR,USD
1,RUT231215C01050000,2021-11-10 11:48:48+00:00,1050.0,1235.5,1151.5,1175.5,0.0,0.0,,5,0.613361410369873,True,REGULAR,USD
2,RUT231215C01200000,2021-11-10 20:16:33+00:00,1200.0,1203.46,1018.0,1042.0,0.0,0.0,,0,0.5509688458251953,True,REGULAR,USD
3,RUT231215C01450000,2021-11-10 11:48:49+00:00,1450.0,727.5,805.5,829.5,0.0,0.0,,1,0.48555507125854497,True,REGULAR,USD
4,RUT231215C01500000,2021-11-08 17:35:54+00:00,1500.0,994.37,765.0,789.0,0.0,0.0,4.0,379,0.47128061683654787,True,REGULAR,USD
5,RUT231215C01550000,2021-11-10 11:48:49+00:00,1550.0,725.5,725.0,749.0,0.0,0.0,,1,0.45748871679306036,True,REGULAR,USD
6,RUT231215C01600000,2022-01-14 17:17:42+00:00,1600.0,633.7,534.0,558.0,0.0,0.0,2.0,754,0.24681081565856935,True,REGULAR,USD
7,RUT231215C01750000,2021-11-01 16:51:17+00:00,1750.0,701.0,538.0,561.5,0.0,0.0,3.0,0,0.369919402065277,True,REGULAR,USD
8,RUT231215C01800000,2021-11-10 11:48:49+00:00,1800.0,609.08,537.0,561.0,0.0,0.0,,1,0.3981478795433045,True,REGULAR,USD
9,RUT231215C01900000,2022-02-22 19:14:52+00:00,1900.0,310.0,363.5,387.5,0.0,0.0,1.0,2,0.2722946459007262,True,REGULAR,USD
10,RUT231215C01950000,2021-11-10 11:48:49+00:00,1950.0,430.18,436.0,460.0,0.0,0.0,2.0,0,0.3694597356414795,True,REGULAR,USD
11,RUT231215C02000000,2021-12-14 19:34:38+00:00,2000.0,389.1,370.6,392.1,0.0,0.0,2.0,4,0.3255911557769775,True,REGULAR,USD
12,RUT231215C02050000,2022-03-24 14:03:29+00:00,2050.0,280.0,288.5,312.5,0.0,0.0,375.0,225,0.27137340572357177,True,REGULAR,USD
13,RUT231215C02100000,2022-03-31 15:48:15+00:00,2100.0,272.68,261.0,285.0,0.0,0.0,125.0,1253,0.26618356199264526,False,REGULAR,USD
14,RUT231215C02150000,2022-03-30 15:26:10+00:00,2150.0,263.98,235.0,259.0,0.0,0.0,1.0,82,0.26125692974090575,False,REGULAR,USD
15,RUT231215C02200000,2022-03-23 16:53:13+00:00,2200.0,213.89,210.5,234.5,0.0,0.0,25.0,1305,0.2565610843658448,False,REGULAR,USD
16,RUT231215C02250000,2021-12-23 17:25:47+00:00,2250.0,288.2,142.5,158.5,0.0,0.0,1.0,9,0.20319591062545775,False,REGULAR,USD
17,RUT231215C02300000,2021-12-17 19:03:09+00:00,2300.0,240.0,204.0,228.0,0.0,0.0,1.0,194,0.282830734386444,False,REGULAR,USD
18,RUT231215C02350000,2022-03-16 14:43:04+00:00,2350.0,135.0,150.0,166.0,0.0,0.0,1.0,75,0.23992917060852045,False,REGULAR,USD
19,RUT231215C02400000,2022-03-30 15:26:10+00:00,2400.0,151.42,132.0,148.0,0.0,0.0,1.0,42,0.23643875751495363,False,REGULAR,USD
20,RUT231215C02450000,2022-02-24 15:00:48+00:00,2450.0,75.9,107.5,123.5,0.0,0.0,1.0,7,0.22528087959289547,False,REGULAR,USD
21,RUT231215C02500000,2022-03-16 19:54:13+00:00,2500.0,94.0,100.5,116.5,0.0,0.0,6.0,407,0.2301579212760925,False,REGULAR,USD
