,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT241220C01500000,2022-02-01 16:26:19+00:00,1500.0,658.63,649.5,673.5,0.0,0.0,2.0,0,0.2453230986022949,True,REGULAR,USD
1,RUT241220C01600000,2022-01-18 16:33:53+00:00,1600.0,659.9,587.5,611.0,0.0,0.0,,1,0.25365049945831303,True,REGULAR,USD
2,RUT241220C01900000,2022-02-23 18:30:32+00:00,1900.0,356.27,432.5,456.5,0.0,0.0,100.0,205,0.2707306356620789,True,REGULAR,USD
3,RUT241220C01950000,2022-01-25 16:23:21+00:00,1950.0,356.5,297.5,322.5,0.0,0.0,,2,0.18514399001121518,True,REGULAR,USD
4,RUT241220C02000000,2022-03-04 20:31:27+00:00,2000.0,330.3,399.5,423.5,0.0,0.0,1.0,839,0.2817263905715942,True,REGULAR,USD
5,RUT241220C02100000,2022-01-25 16:05:45+00:00,2100.0,276.7,229.5,253.5,0.0,0.0,250.0,252,0.18751766164779662,False,REGULAR,USD
6,RUT241220C02150000,2022-01-11 15:37:35+00:00,2150.0,365.0,286.5,310.5,0.0,0.0,1.0,1,0.24441616339683536,False,REGULAR,USD
7,RUT241220C02200000,2022-03-08 17:16:27+00:00,2200.0,238.7,296.0,320.0,0.0,0.0,5.0,166,0.2652966537475586,False,REGULAR,USD
8,RUT241220C02300000,2022-02-14 05:03:29+00:00,2300.0,211.0,0.0,0.0,0.0,0.0,,0,0.007822421875,False,REGULAR,USD
9,RUT241220C02350000,2022-03-02 19:26:54+00:00,2350.0,208.5,230.0,254.0,0.0,0.0,,4,0.25447255849838263,False,REGULAR,USD
10,RUT241220C02400000,2021-12-22 14:48:26+00:00,2400.0,275.72,168.5,184.0,0.0,0.0,,77,0.21412204800605772,False,REGULAR,USD
11,RUT241220C02600000,2022-01-03 19:44:48+00:00,2600.0,218.0,104.5,120.5,0.0,0.0,,4,0.20297084573745727,False,REGULAR,USD
12,RUT241220C02700000,2022-02-23 18:30:18+00:00,2700.0,81.51,103.5,119.5,0.0,0.0,100.0,375,0.21837825391769408,False,REGULAR,USD
13,RUT241220C02750000,2022-03-17 13:39:55+00:00,2750.0,100.0,107.5,123.5,0.0,0.0,,2,0.22941406274795534,False,REGULAR,USD
14,RUT241220C02800000,2022-03-17 13:38:47+00:00,2800.0,89.0,99.5,109.5,0.0,0.0,1.0,318,0.22485745243072508,False,REGULAR,USD
15,RUT241220C03000000,2021-12-22 20:53:00+00:00,3000.0,88.76,43.0,53.0,0.0,0.0,,13,0.1954368939781189,False,REGULAR,USD
16,RUT241220C03150000,2022-01-31 14:56:38+00:00,3150.0,28.71,33.0,43.0,0.0,0.0,4.0,39,0.19961585304260251,False,REGULAR,USD
17,RUT241220C03200000,2022-02-22 14:39:33+00:00,3200.0,34.3,31.0,41.0,0.0,0.0,5.0,46,0.20206486419677733,False,REGULAR,USD
