,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT220414P01050000,2022-03-23 14:06:10+00:00,1050.0,0.05,0.0,0.05,0.0,0.0,1.0,23,1.21875390625,False,REGULAR,USD
1,RUT220414P01100000,2022-03-23 14:06:07+00:00,1100.0,0.05,0.0,0.1,0.0,0.0,1.0,28,1.19922275390625,False,REGULAR,USD
2,RUT220414P01150000,2022-03-23 14:06:20+00:00,1150.0,0.1,0.0,0.1,0.0,0.0,1.0,14,1.11328568359375,False,REGULAR,USD
3,RUT220414P01200000,2022-03-29 18:26:59+00:00,1200.0,0.05,0.0,0.1,0.0,0.0,1.0,66,1.0351610742187503,False,REGULAR,USD
4,RUT220414P01250000,2022-04-01 14:58:31+00:00,1250.0,0.05,0.0,0.15,0.0,0.0,1.0,50,0.9882813671875,False,REGULAR,USD
5,RUT220414P01300000,2022-03-29 16:25:28+00:00,1300.0,0.1,0.0,0.15,0.0,0.0,3.0,20,0.91211025390625,False,REGULAR,USD
6,RUT220414P01350000,2022-04-01 20:14:55+00:00,1350.0,0.05,0.0,0.15,0.0,0.0,1.0,14,0.8378922460937499,False,REGULAR,USD
7,RUT220414P01400000,2022-04-04 19:08:40+00:00,1400.0,0.05,0.05,0.2,0.0,0.0,7.0,123,0.8027363476562499,False,REGULAR,USD
8,RUT220414P01450000,2022-04-05 16:00:22+00:00,1450.0,0.05,0.1,0.25,0.0,0.0,1.0,59,0.754885263671875,False,REGULAR,USD
9,RUT220414P01500000,2022-04-05 16:00:22+00:00,1500.0,0.1,0.15,0.35,0.0,0.0,1.0,144,0.708010732421875,False,REGULAR,USD
10,RUT220414P01550000,2022-04-06 13:47:05+00:00,1550.0,0.24,0.2,0.4,0.13999999,139.99997,1.0,178,0.648441015625,False,REGULAR,USD
11,RUT220414P01600000,2022-04-06 13:47:35+00:00,1600.0,0.36,0.3,0.5,0.16000001,80.00001,1.0,160,0.5961954443359375,False,REGULAR,USD
12,RUT220414P01610000,2022-03-21 15:44:16+00:00,1610.0,2.05,0.35,0.55,0.0,0.0,,5,0.5900919897460939,False,REGULAR,USD
13,RUT220414P01640000,2022-03-21 17:18:37+00:00,1640.0,2.96,0.45,0.6,0.0,0.0,,8,0.5568891967773439,False,REGULAR,USD
14,RUT220414P01650000,2022-04-06 14:02:04+00:00,1650.0,0.51,0.5,0.65,0.16999999,49.999992,2.0,227,0.5483443603515626,False,REGULAR,USD
15,RUT220414P01660000,2022-04-01 19:44:34+00:00,1660.0,0.34,0.55,0.7,0.0,0.0,1.0,27,0.5395553857421876,False,REGULAR,USD
16,RUT220414P01670000,2022-03-30 15:46:59+00:00,1670.0,0.55,0.55,0.75,0.0,0.0,10.0,15,0.5273484765625001,False,REGULAR,USD
17,RUT220414P01690000,2022-03-23 15:23:32+00:00,1690.0,2.4,0.65,0.85,0.0,0.0,,15,0.5075732836914062,False,REGULAR,USD
18,RUT220414P01700000,2022-04-06 14:02:04+00:00,1700.0,0.78,0.7,0.9,0.37999997,94.99999,2.0,536,0.5053760400390624,False,REGULAR,USD
19,RUT220414P01750000,2022-04-06 14:12:08+00:00,1750.0,1.26,1.05,1.25,0.89,240.54054,54.0,1994,0.45178770874023444,False,REGULAR,USD
20,RUT220414P01765000,2022-04-05 14:27:10+00:00,1765.0,0.42,1.15,1.35,0.0,0.0,16.0,1924,0.4335994140625,False,REGULAR,USD
21,RUT220414P01770000,2022-04-05 19:47:55+00:00,1770.0,0.65,1.2,1.4,0.0,0.0,2.0,1281,0.42828940856933595,False,REGULAR,USD
22,RUT220414P01775000,2022-04-04 18:47:57+00:00,1775.0,0.42,1.3,1.45,0.0,0.0,2.0,1125,0.422857333984375,False,REGULAR,USD
23,RUT220414P01780000,2022-04-04 16:54:39+00:00,1780.0,0.49,1.35,1.5,0.0,0.0,14.0,767,0.4172421557617187,False,REGULAR,USD
24,RUT220414P01785000,2022-04-04 18:19:48+00:00,1785.0,0.45,1.4,1.55,0.0,0.0,2.0,428,0.41156594299316407,False,REGULAR,USD
