,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUTW220630C01500000,2022-02-18 16:01:41+00:00,1500.0,532.82,581.0,604.5,0.0,0.0,1.0,0,0.46227039199829106,True,REGULAR,USD
1,RUTW220630C01600000,2021-11-10 11:47:55+00:00,1600.0,640.13,625.8,637.3,0.0,0.0,,5,0.9139946955108643,True,REGULAR,USD
2,RUTW220630C01650000,2021-11-10 11:47:55+00:00,1650.0,596.84,580.6,591.8,0.0,0.0,,5,0.8692945199584962,True,REGULAR,USD
3,RUTW220630C01700000,2022-01-27 20:05:56+00:00,1700.0,300.54,372.2,376.0,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD
4,RUTW220630C01900000,2022-02-24 14:46:47+00:00,1900.0,134.94,221.0,226.2,0.0,0.0,,50,0.2629697116851807,True,REGULAR,USD
5,RUTW220630C01950000,2022-03-24 14:21:21+00:00,1950.0,165.0,175.4,207.4,0.0,0.0,2.0,2,0.31091616214752194,True,REGULAR,USD
6,RUTW220630C01960000,2022-03-22 13:53:03+00:00,1960.0,194.59,167.8,199.8,0.0,0.0,1.0,2,0.30763936996459956,True,REGULAR,USD
7,RUTW220630C01970000,2022-03-22 13:53:03+00:00,1970.0,187.32,160.4,192.4,0.0,0.0,1.0,2,0.3046677505111694,True,REGULAR,USD
8,RUTW220630C01980000,2022-03-14 04:06:30+00:00,1980.0,130.02,153.1,185.1,0.0,0.0,,1,0.30171138969421385,True,REGULAR,USD
9,RUTW220630C01990000,2022-03-14 04:06:30+00:00,1990.0,130.0,145.7,177.7,0.0,0.0,,3,0.2982324205780028,True,REGULAR,USD
10,RUTW220630C02000000,2022-03-25 19:51:40+00:00,2000.0,149.0,138.8,170.8,0.0,0.0,2.0,10,0.29580629737854003,True,REGULAR,USD
11,RUTW220630C02010000,2022-03-17 16:21:24+00:00,2010.0,142.1,131.9,163.9,0.0,0.0,1.0,2,0.29310170406341546,True,REGULAR,USD
12,RUTW220630C02030000,2022-02-28 20:57:00+00:00,2030.0,137.5,136.7,139.3,0.0,0.0,,1,0.2596891048431397,True,REGULAR,USD
