,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT241220P01100000,2022-02-10 20:36:59+00:00,1100.0,49.83,53.0,63.0,0.0,0.0,1.0,8,0.3490799193000793,False,REGULAR,USD
1,RUT241220P01150000,2021-12-22 17:30:58+00:00,1150.0,66.0,64.5,74.5,0.0,0.0,,7,0.34869273139953616,False,REGULAR,USD
2,RUT241220P01200000,2022-02-14 15:48:29+00:00,1200.0,70.3,65.0,75.0,0.0,0.0,3.0,295,0.3292990044403076,False,REGULAR,USD
3,RUT241220P01400000,2022-02-10 14:35:53+00:00,1400.0,90.0,100.1,116.1,0.0,0.0,1.0,252,0.30756689144134514,False,REGULAR,USD
4,RUT241220P01550000,2022-01-24 16:04:31+00:00,1550.0,153.0,132.5,148.5,0.0,0.0,,1,0.2855200690650939,False,REGULAR,USD
5,RUT241220P01600000,2022-02-24 16:35:26+00:00,1600.0,166.0,113.0,129.0,0.0,0.0,12.0,50,0.2467574104309082,False,REGULAR,USD
6,RUT241220P01650000,2022-04-01 15:31:36+00:00,1650.0,135.36,136.0,152.0,0.0,0.0,150.0,250,0.25090394489288326,False,REGULAR,USD
7,RUT241220P01700000,2022-04-04 16:48:28+00:00,1700.0,143.21,148.0,164.0,0.0,0.0,250.0,477,0.2432898852920532,False,REGULAR,USD
8,RUT241220P01750000,2022-01-28 18:12:53+00:00,1750.0,217.2,171.5,187.5,0.0,0.0,50.0,187,0.24517432689666746,False,REGULAR,USD
9,RUT241220P01800000,2022-04-04 16:39:22+00:00,1800.0,167.5,177.5,193.5,0.0,0.0,3.0,475,0.23087698451995847,False,REGULAR,USD
10,RUT241220P01850000,2022-02-15 17:16:13+00:00,1850.0,201.2,195.5,211.5,0.0,0.0,,20,0.22620402709960938,False,REGULAR,USD
11,RUT241220P01900000,2022-02-15 18:39:30+00:00,1900.0,216.0,208.5,232.5,0.0,0.0,5.0,694,0.2230454893493652,False,REGULAR,USD
12,RUT241220P01950000,2022-01-25 14:30:24+00:00,1950.0,281.0,0.0,0.0,0.0,0.0,,1,0.0039162109375,False,REGULAR,USD
13,RUT241220P02000000,2022-02-24 15:37:29+00:00,2000.0,316.94,225.0,249.0,0.0,0.0,150.0,1373,0.1942276470375061,False,REGULAR,USD
14,RUT241220P02050000,2022-01-21 15:25:44+00:00,2050.0,322.5,294.0,318.0,0.0,0.0,2.0,2,0.22503864873886104,True,REGULAR,USD
15,RUT241220P02100000,2022-01-25 16:05:45+00:00,2100.0,352.4,351.5,375.5,0.0,0.0,,530,0.24570265718460085,True,REGULAR,USD
16,RUT241220P02150000,2022-01-25 14:30:14+00:00,2150.0,376.5,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
17,RUT241220P02200000,2022-02-01 19:14:23+00:00,2200.0,374.75,360.5,384.5,0.0,0.0,95.0,645,0.20379481210708617,True,REGULAR,USD
18,RUT241220P02300000,2021-12-22 15:03:32+00:00,2300.0,397.5,411.6,507.6,0.0,0.0,,2,0.24529162766456608,True,REGULAR,USD
19,RUT241220P02400000,2022-02-22 15:43:31+00:00,2400.0,483.5,422.0,446.0,0.0,0.0,1.0,2,0.13373669006347655,True,REGULAR,USD
20,RUT241220P02650000,2022-03-29 18:16:02+00:00,2650.0,539.42,596.5,620.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
