Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-03,1386.4300537109375,1388.739990234375,1366.530029296875,1369.6700439453125,3416400000,0,0
2017-04-04,1368.5799560546875,1374.050048828125,1363.300048828125,1368.1800537109375,3206240000,0,0
2017-04-05,1369.7900390625,1381.3399658203125,1350.9599609375,1352.1400146484375,3770520000,0,0
2017-04-06,1351.9599609375,1364.52001953125,1349.3399658203125,1364.4300537109375,3201920000,0,0
2017-04-07,1363.8399658203125,1367.5,1358.010009765625,1364.56005859375,3053150000,0,0
2017-04-10,1364.760009765625,1376.56005859375,1361.5400390625,1367.0899658203125,2785410000,0,0
2017-04-11,1366.469970703125,1377.22998046875,1360.5400390625,1376.949951171875,3117420000,0,0
2017-04-12,1376.8599853515625,1376.8599853515625,1358.1500244140625,1359.199951171875,3196950000,0,0
2017-04-13,1358.6099853515625,1361.3199462890625,1345.239990234375,1345.239990234375,3143890000,0,0
2017-04-17,1345.3599853515625,1361.25,1345.3599853515625,1361.1800537109375,2824710000,0,0
2017-04-18,1359.8900146484375,1362.489990234375,1351.4200439453125,1361.8900146484375,3269840000,0,0
2017-04-19,1362.3199462890625,1376.68994140625,1362.3199462890625,1367.1300048828125,3519900000,0,0
2017-04-20,1368.3900146484375,1384.5799560546875,1368.3900146484375,1384.1500244140625,3647420000,0,0
2017-04-21,1381.5,1383.1300048828125,1376.3699951171875,1379.8499755859375,3503360000,0,0
2017-04-24,1380.530029296875,1399.9599609375,1380.530029296875,1397.93994140625,3690650000,0,0
2017-04-25,1400.0999755859375,1415.550048828125,1400.0999755859375,1411.0799560546875,3995240000,0,0
2017-04-26,1411.050048828125,1425.699951171875,1409.8299560546875,1419.4300537109375,4105920000,0,0
2017-04-27,1419.5699462890625,1423.52001953125,1413.6800537109375,1417.1300048828125,4098460000,0,0
2017-04-28,1417.75,1419.2099609375,1399.75,1400.4300537109375,3718270000,0,0
2017-05-01,1401.010009765625,1411.0400390625,1397.0799560546875,1407.3599853515625,3199240000,0,0
2017-05-02,1407.5400390625,1409.050048828125,1395.6300048828125,1399.3599853515625,3813680000,0,0
2017-05-03,1399.1300048828125,1399.1300048828125,1386.3199462890625,1390.9200439453125,3893990000,0,0
2017-05-04,1391.1700439453125,1394.1600341796875,1380.489990234375,1388.8499755859375,4362540000,0,0
2017-05-05,1389.2099609375,1397.2099609375,1385.199951171875,1397.0,3540140000,0,0
2017-05-08,1396.4000244140625,1397.4300537109375,1386.4200439453125,1391.6400146484375,3429440000,0,0
2017-05-09,1392.31005859375,1395.47998046875,1386.72998046875,1391.8599853515625,3653590000,0,0
2017-05-10,1392.030029296875,1400.81005859375,1390.43994140625,1399.5899658203125,3643530000,0,0
2017-05-11,1399.199951171875,1399.199951171875,1379.1500244140625,1390.199951171875,3727420000,0,0
2017-05-12,1389.3900146484375,1389.3900146484375,1380.02001953125,1382.77001953125,3305630000,0,0
2017-05-15,1383.27001953125,1398.989990234375,1383.27001953125,1393.9200439453125,3473600000,0,0
2017-05-16,1394.5699462890625,1396.3599853515625,1384.8199462890625,1394.6800537109375,3420790000,0,0
2017-05-17,1388.300048828125,1388.300048828125,1355.8499755859375,1355.8900146484375,4163000000,0,0
2017-05-18,1354.9300537109375,1365.010009765625,1351.010009765625,1361.0799560546875,4319420000,0,0
2017-05-19,1361.530029296875,1374.4200439453125,1361.530029296875,1367.3299560546875,3825160000,0,0
2017-05-22,1367.8800048828125,1378.300048828125,1367.8800048828125,1377.1400146484375,3172830000,0,0
