,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUTW220422P01200000,2022-04-04 13:32:32+00:00,1200.0,0.1,0.1,0.25,0.0,0.0,1.0,4,0.8374039697265624,False,REGULAR,USD
1,RUTW220422P01230000,2022-03-14 04:07:18+00:00,1230.0,1.65,0.05,0.3,0.0,0.0,,6,0.799806689453125,False,REGULAR,USD
2,RUTW220422P01250000,2022-03-21 15:34:24+00:00,1250.0,0.72,0.15,0.3,0.0,0.0,1.0,2,0.7944356494140624,False,REGULAR,USD
3,RUTW220422P01295000,2022-03-14 04:07:18+00:00,1295.0,2.5,0.2,0.35,0.0,0.0,,1,0.754885263671875,False,REGULAR,USD
4,RUTW220422P01300000,2022-03-21 15:34:24+00:00,1300.0,0.93,0.2,0.35,0.0,0.0,1.0,0,0.7485376708984376,False,REGULAR,USD
5,RUTW220422P01345000,2022-03-14 04:07:18+00:00,1345.0,3.12,0.2,0.45,0.0,0.0,,1,0.7070341796875,False,REGULAR,USD
6,RUTW220422P01350000,2022-03-28 15:48:37+00:00,1350.0,0.5,0.3,0.45,0.0,0.0,,4,0.711916943359375,False,REGULAR,USD
7,RUTW220422P01355000,2022-03-23 19:19:35+00:00,1355.0,0.9,0.2,0.45,0.0,0.0,,1,0.6948272705078126,False,REGULAR,USD
8,RUTW220422P01385000,2022-03-29 13:47:51+00:00,1385.0,0.37,0.35,0.5,0.0,0.0,3.0,1,0.6792024267578126,False,REGULAR,USD
9,RUTW220422P01400000,2022-03-29 13:47:51+00:00,1400.0,0.42,0.4,0.55,0.0,0.0,3.0,1,0.6699251757812501,False,REGULAR,USD
10,RUTW220422P01420000,2022-03-14 13:42:05+00:00,1420.0,5.2,0.35,0.55,0.0,0.0,,1,0.6420934228515626,False,REGULAR,USD
11,RUTW220422P01445000,2022-03-28 18:50:35+00:00,1445.0,0.67,0.4,0.65,0.0,0.0,3.0,0,0.6237830590820312,False,REGULAR,USD
12,RUTW220422P01455000,2022-03-28 18:50:35+00:00,1455.0,0.72,0.5,0.65,0.0,0.0,3.0,4,0.6186561572265626,False,REGULAR,USD
13,RUTW220422P01460000,2022-03-29 16:11:41+00:00,1460.0,0.45,0.5,0.7,0.0,0.0,3.0,3,0.6159706372070313,False,REGULAR,USD
14,RUTW220422P01465000,2022-03-17 14:18:23+00:00,1465.0,2.78,0.55,0.7,0.0,0.0,4.0,4,0.6130409790039064,False,REGULAR,USD
15,RUTW220422P01470000,2022-03-29 16:11:41+00:00,1470.0,0.49,0.45,0.7,0.0,0.0,3.0,3,0.6010782080078126,False,REGULAR,USD
16,RUTW220422P01475000,2022-03-30 13:32:54+00:00,1475.0,0.47,0.6,0.7,0.0,0.0,3.0,3,0.6042520043945314,False,REGULAR,USD
17,RUTW220422P01485000,2022-03-30 13:32:54+00:00,1485.0,0.52,0.6,0.8,0.0,0.0,3.0,6,0.5979044116210939,False,REGULAR,USD
18,RUTW220422P01500000,2022-04-05 13:40:24+00:00,1500.0,0.27,0.5,0.8,0.0,0.0,2.0,7,0.5747112841796875,False,REGULAR,USD
19,RUTW220422P01520000,2022-03-16 14:24:05+00:00,1520.0,4.34,0.7,0.9,0.0,0.0,,1,0.5662885168457032,False,REGULAR,USD
20,RUTW220422P01525000,2022-03-14 18:20:49+00:00,1525.0,9.4,0.75,0.9,0.0,0.0,,2,0.562626444091797,False,REGULAR,USD
21,RUTW220422P01530000,2022-03-16 14:24:05+00:00,1530.0,4.58,0.75,0.95,0.0,0.0,,1,0.5588423022460938,False,REGULAR,USD
22,RUTW220422P01535000,2022-03-14 18:27:31+00:00,1535.0,10.14,0.75,0.95,0.0,0.0,,10,0.5529829858398438,False,REGULAR,USD
23,RUTW220422P01540000,2022-03-14 18:27:31+00:00,1540.0,10.38,0.8,1.0,0.0,0.0,,10,0.5512740185546876,False,REGULAR,USD
24,RUTW220422P01550000,2022-03-30 13:59:42+00:00,1550.0,0.65,0.85,1.0,0.0,0.0,4.0,7,0.5415084912109377,False,REGULAR,USD
25,RUTW220422P01555000,2022-03-14 18:21:42+00:00,1555.0,11.06,0.85,1.0,0.0,0.0,,71,0.5355271057128907,False,REGULAR,USD
26,RUTW220422P01560000,2022-03-24 17:37:13+00:00,1560.0,1.74,0.75,1.05,0.0,0.0,10.0,71,0.5277146838378908,False,REGULAR,USD
27,RUTW220422P01565000,2022-03-15 19:53:58+00:00,1565.0,7.66,0.95,1.1,0.0,0.0,,1,0.5312546875,False,REGULAR,USD
28,RUTW220422P01580000,2022-03-16 19:18:48+00:00,1580.0,5.7,1.0,1.2,0.0,0.0,,1,0.5185595019531251,False,REGULAR,USD
29,RUTW220422P01585000,2022-03-30 13:59:42+00:00,1585.0,0.81,1.0,1.2,0.0,0.0,4.0,13,0.512578116455078,False,REGULAR,USD
30,RUTW220422P01590000,2022-04-06 13:34:04+00:00,1590.0,0.88,1.1,1.3,0.20999998,31.343279,10.0,104,0.5130663928222656,False,REGULAR,USD
31,RUTW220422P01595000,2022-03-15 13:42:30+00:00,1595.0,11.55,1.1,1.25,0.0,0.0,,4,0.5054981091308592,False,REGULAR,USD
32,RUTW220422P01600000,2022-04-05 15:03:57+00:00,1600.0,0.58,0.95,1.3,0.0,0.0,3.0,92,0.5069629382324219,False,REGULAR,USD
33,RUTW220422P01605000,2022-03-14 04:07:19+00:00,1605.0,19.1,1.15,1.3,0.0,0.0,,8,0.5009815527343751,False,REGULAR,USD
34,RUTW220422P01610000,2022-04-05 18:01:50+00:00,1610.0,0.65,1.05,1.35,0.0,0.0,10.0,35,0.4978077563476563,False,REGULAR,USD
35,RUTW220422P01625000,2022-03-31 17:02:29+00:00,1625.0,1.07,1.15,1.5,0.0,0.0,1.0,13,0.4875539526367188,False,REGULAR,USD
36,RUTW220422P01630000,2022-04-04 14:15:03+00:00,1630.0,0.67,1.35,1.5,0.0,0.0,5.0,9,0.48151153259277346,False,REGULAR,USD
37,RUTW220422P01635000,2022-03-28 20:06:55+00:00,1635.0,1.59,1.35,1.55,0.0,0.0,10.0,11,0.4779104943847656,False,REGULAR,USD
38,RUTW220422P01640000,2022-03-28 19:57:18+00:00,1640.0,1.6,1.4,1.6,0.0,0.0,1.0,2,0.474187387084961,False,REGULAR,USD
39,RUTW220422P01645000,2022-03-25 19:00:46+00:00,1645.0,2.11,1.45,1.65,0.0,0.0,1.0,1,0.4704032452392578,False,REGULAR,USD
40,RUTW220422P01650000,2022-04-05 14:14:17+00:00,1650.0,0.72,1.5,1.7,0.0,0.0,1.0,10,0.46655806884765627,False,REGULAR,USD
41,RUTW220422P01655000,2022-03-29 14:51:38+00:00,1655.0,1.4,1.5,1.75,0.0,0.0,1.0,2,0.4626518579101563,False,REGULAR,USD
42,RUTW220422P01660000,2022-03-25 15:45:37+00:00,1660.0,2.58,1.5,1.85,0.0,0.0,2.0,12,0.4606987524414063,False,REGULAR,USD
43,RUTW220422P01665000,2022-03-28 19:57:18+00:00,1665.0,1.85,1.5,1.85,0.0,0.0,1.0,8,0.45453426330566404,False,REGULAR,USD
44,RUTW220422P01670000,2022-03-28 15:01:37+00:00,1670.0,2.5,1.7,1.95,0.0,0.0,1.0,9,0.4523370196533204,False,REGULAR,USD
45,RUTW220422P01675000,2022-03-29 13:32:02+00:00,1675.0,1.55,1.75,1.95,0.0,0.0,1.0,10,0.4461725305175781,False,REGULAR,USD
46,RUTW220422P01680000,2022-04-05 14:14:17+00:00,1680.0,0.86,1.8,2.0,0.0,0.0,1.0,67,0.4419001123046875,False,REGULAR,USD
47,RUTW220422P01685000,2022-03-17 13:48:19+00:00,1685.0,8.88,1.85,2.1,0.0,0.0,54.0,60,0.4393976959228516,False,REGULAR,USD
48,RUTW220422P01690000,2022-03-23 19:06:11+00:00,1690.0,4.69,1.9,2.15,0.0,0.0,1.0,30,0.43494217407226565,False,REGULAR,USD
