,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT230317C02250000,2022-03-17 18:32:06+00:00,2250.0,116.8,117.0,133.0,0.0,0.0,,60,0.23950574344635006,False,REGULAR,USD
1,RUT230317C02300000,2022-03-30 16:56:29+00:00,2300.0,117.0,100.0,110.0,0.0,0.0,100.0,200,0.23035628355026244,False,REGULAR,USD
