,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT230317P01350000,2022-03-31 14:32:32+00:00,1350.0,30.78,31.4,37.5,0.0,0.0,,7,0.3633486517333985,False,REGULAR,USD
1,RUT230317P01400000,2022-03-23 20:17:45+00:00,1400.0,38.0,37.0,47.0,0.0,0.0,,499,0.3640734369659424,False,REGULAR,USD
2,RUT230317P01600000,2022-03-21 14:23:55+00:00,1600.0,67.0,66.0,76.0,0.0,0.0,,1,0.32237539813995353,False,REGULAR,USD
3,RUT230317P01640000,2022-03-17 16:12:49+00:00,1640.0,80.0,73.5,83.0,0.0,0.0,,4,0.31366653137207035,False,REGULAR,USD
4,RUT230317P01700000,2022-03-23 14:54:33+00:00,1700.0,82.39,85.5,95.5,0.0,0.0,,0,0.3022301833343506,False,REGULAR,USD
5,RUT230317P01850000,2022-03-30 16:56:13+00:00,1850.0,100.0,124.2,137.5,0.0,0.0,,800,0.27889209884643557,False,REGULAR,USD
6,RUT230317P01900000,2022-03-23 14:54:33+00:00,1900.0,130.39,139.6,153.4,0.0,0.0,,0,0.2698551713943481,False,REGULAR,USD
7,RUT230317P01970000,2022-03-29 16:46:56+00:00,1970.0,131.8,165.5,178.8,0.0,0.0,,50,0.25789812238693244,False,REGULAR,USD
8,RUT230317P02050000,2022-03-23 20:17:45+00:00,2050.0,187.26,199.5,212.8,0.0,0.0,,220,0.2452334541130066,True,REGULAR,USD
9,RUT230317P02070000,2022-04-01 19:35:07+00:00,2070.0,188.22,208.0,222.4,0.0,0.0,1023.0,1023,0.2425040655136108,True,REGULAR,USD
10,RUT230317P02100000,2022-03-30 16:56:36+00:00,2100.0,180.53,222.3,236.5,0.0,0.0,,800,0.2372550945663452,True,REGULAR,USD
