,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,RUT221216P00400000,2022-03-22 18:25:54+00:00,400.0,1.0,0.45,1.85,0.0,0.0,2.0,32,0.7760032165527344,False,REGULAR,USD
1,RUT221216P00500000,2022-03-15 15:57:42+00:00,500.0,2.7,0.75,2.6,0.0,0.0,1.0,2,0.7017852087402343,False,REGULAR,USD
2,RUT221216P00600000,2022-03-22 18:29:23+00:00,600.0,2.3,1.25,3.4,0.0,0.0,1.0,6,0.6394689373779296,False,REGULAR,USD
3,RUT221216P00700000,2022-01-24 19:15:59+00:00,700.0,7.36,0.0,6.0,0.0,0.0,1.0,27,0.5819743951416017,False,REGULAR,USD
4,RUT221216P00750000,2022-01-18 16:45:57+00:00,750.0,4.7,3.7,6.4,0.0,0.0,1.0,15,0.590671817932129,False,REGULAR,USD
5,RUT221216P00800000,2021-11-10 11:48:46+00:00,800.0,14.71,2.4,12.0,0.0,0.0,1.0,4,0.5885050915527343,False,REGULAR,USD
6,RUT221216P00850000,2021-11-10 11:48:46+00:00,850.0,9.55,3.9,13.5,0.0,0.0,1.0,714,0.5720562814331055,False,REGULAR,USD
7,RUT221216P00900000,2022-03-02 19:07:55+00:00,900.0,8.24,4.2,6.7,0.0,0.0,4.0,921,0.5133410482788084,False,REGULAR,USD
8,RUT221216P00950000,2022-03-02 19:07:55+00:00,950.0,9.73,5.1,7.7,0.0,0.0,4.0,8,0.49419145950317384,False,REGULAR,USD
9,RUT221216P01000000,2022-03-31 14:20:43+00:00,1000.0,7.79,8.0,10.5,0.0,0.0,1.0,1033,0.4918874053955079,False,REGULAR,USD
10,RUT221216P01050000,2022-03-29 13:30:14+00:00,1050.0,9.29,9.8,12.2,0.0,0.0,4.0,18,0.47585057846069334,False,REGULAR,USD
11,RUT221216P01100000,2022-03-29 13:30:14+00:00,1100.0,10.9,11.8,14.2,0.0,0.0,4.0,1037,0.460866597442627,False,REGULAR,USD
12,RUT221216P01150000,2021-10-25 18:59:06+00:00,1150.0,17.7,5.0,45.0,0.0,0.0,120.0,147,0.581562411956787,False,REGULAR,USD
13,RUT221216P01200000,2022-03-29 13:31:57+00:00,1200.0,14.5,16.5,19.0,0.0,0.0,1.0,308,0.43198962791442874,False,REGULAR,USD
14,RUT221216P01250000,2022-03-29 13:31:02+00:00,1250.0,17.0,19.3,21.9,0.0,0.0,5.0,3870,0.4182110791778564,False,REGULAR,USD
15,RUT221216P01300000,2022-01-11 18:40:15+00:00,1300.0,24.05,24.6,28.8,0.0,0.0,42.0,770,0.4199658223724365,False,REGULAR,USD
16,RUT221216P01350000,2022-03-22 15:59:58+00:00,1350.0,25.25,26.6,29.3,0.0,0.0,1.0,159,0.3932326912689209,False,REGULAR,USD
17,RUT221216P01400000,2022-03-22 15:59:34+00:00,1400.0,29.0,31.1,33.9,0.0,0.0,1.0,1050,0.38164375686645496,False,REGULAR,USD
18,RUT221216P01450000,2022-03-31 16:12:59+00:00,1450.0,30.07,35.9,39.0,0.0,0.0,10.0,81,0.36993275337219234,False,REGULAR,USD
19,RUT221216P01500000,2022-04-04 16:44:34+00:00,1500.0,33.3,41.9,45.1,0.0,0.0,3.0,502,0.35936614761352537,False,REGULAR,USD
20,RUT221216P01550000,2022-03-21 13:31:16+00:00,1550.0,45.95,48.6,51.8,0.0,0.0,1.0,45,0.34844859321594235,False,REGULAR,USD
21,RUT221216P01600000,2022-03-29 15:30:57+00:00,1600.0,41.7,56.3,59.5,0.0,0.0,200.0,1309,0.3380231298446655,False,REGULAR,USD
22,RUT221216P01650000,2022-03-28 18:37:59+00:00,1650.0,57.0,64.7,67.9,0.0,0.0,748.0,1353,0.3271284634017944,False,REGULAR,USD
23,RUT221216P01700000,2022-04-05 14:00:38+00:00,1700.0,60.0,74.5,77.7,0.0,0.0,200.0,3336,0.3170692073059082,False,REGULAR,USD
24,RUT221216P01750000,2022-01-27 19:45:21+00:00,1750.0,125.95,84.5,94.5,0.0,0.0,2.0,86,0.3178664710617065,False,REGULAR,USD
25,RUT221216P01800000,2022-03-23 18:24:15+00:00,1800.0,91.05,98.4,101.9,0.0,0.0,1.0,2666,0.29870734563827506,False,REGULAR,USD
26,RUT221216P01810000,2022-03-23 18:26:19+00:00,1810.0,93.65,101.0,104.5,0.0,0.0,4.0,259,0.2966493370437622,False,REGULAR,USD
27,RUT221216P01820000,2022-03-22 18:04:32+00:00,1820.0,88.93,104.0,107.3,0.0,0.0,,1,0.2948411886215209,False,REGULAR,USD
28,RUT221216P01830000,2022-03-23 17:23:24+00:00,1830.0,96.38,106.6,109.7,0.0,0.0,2.0,4,0.29224340576171864,False,REGULAR,USD
29,RUT221216P01840000,2022-04-05 15:11:14+00:00,1840.0,93.0,109.6,112.9,0.0,0.0,25.0,196,0.2909044604110717,False,REGULAR,USD
30,RUT221216P01850000,2022-03-23 15:01:44+00:00,1850.0,99.67,112.5,115.9,0.0,0.0,3.0,340,0.28911538528442376,False,REGULAR,USD
