 USD,03-30-2022,03-29-2022,03-28-2022,03-25-2022,03-24-2022
 USD LIBOR - overnight,0.32814 %,0.32757 %,0.32786 %,0.32657 %,0.32786 %
 USD LIBOR - 1 month,0.45514 %,0.45743 %,0.44943 %,0.44514 %,0.44714 %
 USD LIBOR - 3 months,0.96686 %,1.00600 %,0.99629 %,0.98286 %,0.96557 %
 USD LIBOR - 6 months,1.47200 %,1.49971 %,1.49271 %,1.45114 %,1.42586 %
 USD LIBOR - 12 months,2.12586 %,2.20300 %,2.19886 %,2.08871 %,2.05786 %
