USD,03-18-2022,03-17-2022,03-16-2022,03-15-2022,03-14-2022
 USD LIBOR - overnight,0.32871 %,0.32600 %,0.08029 %,0.07957 %,0.07914 %
 USD LIBOR - 1 month,0.44657 %,0.44857 %,0.46757 %,0.44143 %,0.43057 %
 USD LIBOR - 3 months,0.93400 %,0.92786 %,0.94814 %,0.91643 %,0.88471 %
 USD LIBOR - 6 months,1.28757 %,1.27443 %,1.25671 %,1.23786 %,1.17500 %
 USD LIBOR - 12 months,1.78643 %,1.77571 %,1.71529 %,1.68514 %,1.65686 %
