Date,Open,High,Low,Close,Adj Close,Volume
2017-03-21,128.380005,128.449997,127.139999,127.250000,111.544731,7578600
2017-03-22,127.050003,127.650002,126.209999,126.260002,110.676903,10272700
2017-03-23,126.099998,127.000000,125.660004,125.900002,110.361328,8508100
2017-03-24,125.860001,126.360001,125.129997,125.480003,109.993156,6490300
2017-03-27,125.160004,126.139999,125.150002,125.800003,110.273666,5004300
2017-03-28,125.620003,125.779999,124.779999,125.660004,110.150940,5287600
2017-03-29,125.050003,125.330002,124.360001,124.919998,109.502274,3971800
2017-03-30,124.739998,125.430000,124.279999,124.660004,109.274361,4711700
2017-03-31,124.110001,124.830002,124.029999,124.550003,109.177940,5657600
2017-04-03,124.730003,125.309998,124.279999,124.690002,109.300682,4956400
2017-04-04,124.510002,124.769997,124.220001,124.680000,109.291924,5358500
2017-04-05,124.720001,125.599998,124.410004,124.800003,109.397095,5646300
2017-04-06,124.849998,125.459999,124.500000,125.050003,109.616234,4324200
2017-04-07,125.120003,125.470001,124.830002,124.919998,109.502274,3615100
2017-04-10,124.870003,124.949997,124.230003,124.339996,108.993866,4594200
2017-04-11,124.260002,124.790001,123.949997,124.220001,108.888657,4161500
2017-04-12,124.540001,125.459999,124.360001,125.400002,109.923050,5556600
2017-04-13,125.129997,125.650002,124.959999,124.989998,109.563629,5396500
2017-04-17,125.019997,125.809998,124.930000,125.720001,110.203545,5367500
2017-04-18,123.180000,123.370003,120.949997,121.820000,106.784889,13485700
2017-04-19,122.099998,122.279999,121.110001,121.370003,106.390427,6993100
2017-04-20,121.860001,122.150002,121.349998,121.870003,106.828712,6330100
2017-04-21,121.779999,122.040001,121.540001,121.760002,106.732307,6021700
2017-04-24,122.519997,123.209999,122.150002,122.889999,107.722816,5679000
2017-04-25,123.339996,123.750000,123.010002,123.430000,108.196190,5090000
2017-04-26,123.790001,124.260002,123.480003,123.510002,108.266289,5021800
2017-04-27,123.580002,124.309998,123.400002,123.739998,108.467911,4225200
2017-04-28,123.849998,123.900002,123.129997,123.470001,108.231247,4381800
2017-05-01,123.400002,123.779999,123.000000,123.339996,108.117279,4556400
2017-05-02,123.519997,123.739998,122.889999,123.699997,108.432854,4881600
2017-05-03,123.589996,123.699997,123.040001,123.330002,108.108513,3736500
2017-05-04,123.690002,123.949997,123.230003,123.949997,108.651985,3753700
2017-05-05,123.800003,123.800003,122.860001,123.510002,108.266289,4139800
2017-05-08,123.529999,123.800003,123.019997,123.250000,108.038391,3608600
2017-05-09,123.230003,123.470001,122.879997,123.209999,108.003319,3762500
2017-05-10,122.910004,123.059998,122.379997,122.809998,107.652695,4237400
2017-05-11,122.500000,123.209999,122.339996,123.199997,107.994576,4095900
2017-05-12,123.110001,124.099998,123.010002,123.639999,108.380257,4097100
2017-05-15,124.410004,127.360001,124.330002,126.989998,111.316803,9854600
2017-05-16,127.339996,128.369995,127.059998,127.769997,112.000526,7233800
2017-05-17,127.769997,127.889999,126.449997,126.669998,111.036285,6480800
2017-05-18,126.459999,127.870003,125.959999,126.970001,111.299263,6571300
2017-05-19,127.029999,127.389999,126.440002,127.000000,111.325569,6957200
2017-05-22,126.629997,127.650002,126.629997,127.260002,111.553474,4858200
2017-05-23,127.309998,128.149994,127.309998,127.519997,111.781387,3972500
2017-05-24,127.790001,128.000000,127.290001,127.510002,111.772636,3965200
2017-05-25,126.739998,127.620003,126.330002,127.529999,112.531479,5294300
2017-05-26,127.230003,127.669998,126.830002,126.919998,111.993210,4005200
2017-05-30,126.699997,127.389999,126.190002,127.110001,112.160881,3665400
